FIPS,Accommodation and Food Services,Administrative and Support and Waste Management and Remediation Services,"Agriculture, Forestry, Fishing and Hunting","Arts, Entertainment, and Recreation",Construction,Educational Services,Finance and Insurance,Health Care and Social Assistance,Information,Management of Companies and Enterprises,Manufacturing,"Mining, Quarrying, and Oil and Gas Extraction",Other Services (except Public Administration),"Professional, Scientific, and Technical Services",Retail Trade,Transportation and Warehousing,Utilities,Wholesale Trade
20021,0.05869,0.030868,0.0,0.0084,0.081882,0.0,0.041651,0.132526,0.014039,0.182621,0.277848,0.02265,0.030765,0.01726,0.061214,0.011522,0.010868,0.017197
20023,0.08739,0.0,0.011638,0.0,0.030748,0.0,0.113283,0.341467,0.0,0.0,0.039824,0.0,0.05844,0.043714,0.129466,0.0,0.0,0.144031
20025,0.008825,0.0,0.0,0.021638,0.0,0.0,0.150024,0.478755,0.0,0.093932,0.0,0.021273,0.044615,0.059594,0.092662,0.0,0.0,0.028681
20027,0.077074,0.01177,0.0,0.010339,0.048377,0.009656,0.089374,0.166448,0.046903,0.0,0.142997,0.0,0.100671,0.032115,0.161118,0.033464,0.0,0.069695
20029,0.107191,0.025449,0.0,0.004723,0.026629,0.0,0.056629,0.219776,0.057845,0.0,0.098458,0.0,0.102247,0.035965,0.155393,0.021722,0.007411,0.080562
20031,0.043847,0.013837,0.0,0.0,0.02546,0.0,0.055445,0.128146,0.047646,0.0,0.036017,0.010608,0.054754,0.016046,0.090523,0.051853,0.400924,0.024894
20033,0.05034,0.0,0.0,0.0,0.02517,0.0,0.105715,0.397689,0.039994,0.0,0.102335,0.018877,0.069078,0.027196,0.163606,0.0,0.0,0.0
20035,0.076537,0.017521,0.0,0.003498,0.017547,0.086596,0.047078,0.148723,0.036042,0.0,0.384873,0.003286,0.037092,0.020905,0.097651,0.007457,0.0,0.015193
20037,0.114837,0.023187,0.0,0.010517,0.048926,0.085518,0.034736,0.148423,0.068775,0.073042,0.168064,0.001585,0.036325,0.024345,0.096209,0.015221,0.006183,0.044105
20039,0.130962,0.035707,0.0,0.0,0.025185,0.0,0.10074,0.266962,0.0,0.0,0.0,0.0,0.060631,0.081635,0.13432,0.014426,0.0,0.149431
20041,0.05885,0.014033,0.0,0.023737,0.034775,0.0,0.06527,0.15515,0.015868,0.0,0.284107,0.0,0.058731,0.033238,0.136425,0.038818,0.017512,0.063487
