FIPS,Health Care and Social Assistance,Manufacturing,Retail Trade,Accommodation and Food Services,Others
10005,0.15256,0.146368,0.161788,0.130247,0.409037
11001,0.094981,0.001448,0.029894,0.095462,0.778215
12001,0.252236,0.03398,0.118172,0.115484,0.480128
12003,0.272921,0.031607,0.130655,0.116546,0.448271
12005,0.155901,0.055553,0.176487,0.170616,0.441443
12007,0.154606,0.059204,0.221754,0.117094,0.447341
12009,0.138089,0.072799,0.125516,0.10671,0.556887
12011,0.114398,0.027834,0.11801,0.098462,0.641296
12013,0.306139,0.011911,0.147503,0.115776,0.418671
12015,0.201722,0.010113,0.226567,0.140629,0.420969
12017,0.320881,0.011226,0.172864,0.102277,0.392753
12019,0.191284,0.024698,0.16354,0.123211,0.497267
12021,0.136282,0.028522,0.153255,0.163602,0.518339
12023,0.208106,0.041885,0.146304,0.154458,0.449246
12027,0.157309,0.075581,0.155825,0.0837,0.527584
12029,0.067079,0.270417,0.152125,0.110201,0.400178
12031,0.109489,0.039617,0.086384,0.075507,0.689003
12033,0.157352,0.033302,0.113368,0.10723,0.588747
12035,0.150507,0.024628,0.183917,0.175576,0.465372
12037,0.1105,0.028675,0.207394,0.244502,0.408929
12039,0.17276,0.112622,0.134658,0.147208,0.432752
12041,0.261755,0.09705,0.079909,0.159817,0.401469
12043,0.047586,0.171832,0.120947,0.120947,0.538689
12045,0.097378,0.026791,0.177135,0.146994,0.551702
12047,0.115803,0.288552,0.217195,0.073599,0.304852
12049,0.206215,0.081625,0.131474,0.16807,0.412617
12051,0.168836,0.103845,0.191889,0.153381,0.382048
12053,0.22908,0.061391,0.18779,0.14852,0.37322
12055,0.256861,0.03922,0.204781,0.118971,0.380167
12057,0.115072,0.031718,0.090547,0.073361,0.689303
12059,0.280516,0.051051,0.20344,0.125839,0.339155
12061,0.173827,0.043011,0.163731,0.109063,0.510368
12063,0.154457,0.073534,0.178602,0.113582,0.479824
12065,0.102664,0.030238,0.183987,0.102664,0.580447
12067,0.212786,0.06764,0.138773,0.097141,0.48366
12069,0.188437,0.036823,0.171471,0.120701,0.482568
12071,0.142076,0.021308,0.153523,0.130833,0.552259
12073,0.155232,0.014174,0.131341,0.131189,0.568064
12075,0.073913,0.118623,0.2129,0.124493,0.47007
12077,0.250482,0.281046,0.151039,0.0,0.317433
12079,0.271819,0.157348,0.154402,0.064579,0.351852
12081,0.12586,0.069161,0.159449,0.111896,0.533635
12083,0.161499,0.09269,0.174707,0.100737,0.470368
12085,0.194745,0.036641,0.144522,0.11333,0.510762
12086,0.118561,0.030974,0.114384,0.107038,0.629043
12087,0.064084,0.0091,0.173837,0.371281,0.381698
12089,0.130625,0.067709,0.158587,0.226508,0.416572
12091,0.127296,0.035518,0.173953,0.165969,0.497264
12093,0.184887,0.026549,0.21043,0.120785,0.457349
12095,0.085888,0.030862,0.090659,0.130309,0.662282
