FIPS,AgeDist
19069,0.2242
19071,0.2334
19073,0.231
19075,0.2141
19077,0.2367
19079,0.2116
19081,0.2369
19083,0.2318
19085,0.1997
19087,0.1985
19089,0.2074
19091,0.2148
19093,0.2187
19095,0.1964
19097,0.2174
19099,0.1965
19101,0.2439
19103,0.1267
19105,0.2147
19107,0.2241
19109,0.2462
19111,0.2128
19113,0.1661
19115,0.1955
19117,0.2252
19119,0.1911
19121,0.1734
19123,0.1849
19125,0.1865
19127,0.1855
19129,0.1979
19131,0.2133
19133,0.2494
19135,0.2062
19137,0.2211
19139,0.1755
19141,0.2142
19143,0.231
19145,0.2313
19147,0.2248
19149,0.1923
19151,0.2394
19153,0.1371
19155,0.183
19157,0.2119
19159,0.2431
19161,0.241
19163,0.1712
19165,0.2348
19167,0.1647
19169,0.1296
19171,0.2046
19173,0.233
19175,0.2115
19177,0.2247
19179,0.1868
19181,0.165
19183,0.2003
19185,0.2235
19187,0.1908
19189,0.2229
19191,0.2182
19193,0.1547
19195,0.2193
19197,0.2346
20001,0.2153
20003,0.2146
20005,0.1793
20007,0.2434
20009,0.2028
20011,0.2033
20013,0.2096
20015,0.1609
20017,0.2485
20019,0.2595
20021,0.1977
20023,0.2748
20025,0.2208
20027,0.2381
20029,0.2164
20031,0.2256
20033,0.2687
20035,0.1895
20037,0.1604
20039,0.2921
20041,0.2059
20043,0.2003
20045,0.1315
20047,0.2223
20049,0.2872
20051,0.1656
20053,0.2148
20055,0.1158
20057,0.1178
20059,0.1755
20061,0.0906
20063,0.2472
20065,0.2708
20067,0.1474
20069,0.164
20071,0.198
20073,0.2648
20075,0.1501
20077,0.2398
20079,0.1998
20081,0.1567
20083,0.2325
20085,0.1948
20087,0.1996
20089,0.3108
20091,0.1541
20093,0.1654
20095,0.2178
20097,0.2243
20099,0.2007
20101,0.2335
20103,0.1537
20105,0.2568
20107,0.23
20109,0.2135
20111,0.1621
20113,0.2057
20115,0.2393
20117,0.228
20119,0.1916
20121,0.1775
20123,0.2417
20125,0.2073
20127,0.2541
20129,0.2157
20131,0.2028
20133,0.2032
20135,0.2606
20137,0.2091
20139,0.2061
20141,0.2592
20143,0.2117
20145,0.2235
20147,0.2515
20149,0.1495
20151,0.2108
20153,0.2771
20155,0.205
20157,0.2797
20159,0.2004
20161,0.1022
20163,0.2363
20165,0.2588
20167,0.2534
20169,0.1883
20171,0.204
20173,0.1532
20175,0.1089
20177,0.1919
20179,0.2451
20181,0.2062
20183,0.2888
20185,0.2222
20187,0.1813
20189,0.1581
20191,0.1975
20193,0.1824
20195,0.2632
20197,0.212
20199,0.231
20201,0.2465
20203,0.2105
20205,0.2299
20207,0.2546
20209,0.1295
21001,0.1932
21003,0.1832
21005,0.1655
21007,0.2158
21009,0.1808
21011,0.1752
21013,0.2022
21015,0.1427
21017,0.1989
21019,0.2054
21021,0.1962
21023,0.1794
21025,0.1809
21027,0.2032
21029,0.1672
21031,0.1901
21033,0.2145
21035,0.1783
21037,0.1675
21039,0.2116
21041,0.1608
21043,0.1967
21045,0.2078
21047,0.1282
21049,0.1845
21051,0.1597
21053,0.2034
21055,0.2137
21057,0.2317
21059,0.1755
21061,0.2142
21063,0.2096
21065,0.1962
21067,0.1429
21069,0.1846
21071,0.1914
21073,0.1854
21075,0.2152
21077,0.1477
21079,0.1896
21081,0.1437
21083,0.1926
21085,0.1841
21087,0.2129
21089,0.2169
21091,0.181
21093,0.1483
21095,0.194
21097,0.1812
21099,0.1727
21101,0.1874
21103,0.1812
21105,0.261
21107,0.1917
21109,0.1816
21111,0.1695
21113,0.1603
21115,0.1919
21117,0.1521
21119,0.2005
21121,0.1787
21123,0.1833
21125,0.1696
21127,0.1838
21129,0.1832
21131,0.189
21133,0.2049
21135,0.1928
21137,0.1902
21139,0.2313
21141,0.1891
21143,0.2648
21145,0.2085
21147,0.1652
21149,0.2034
21151,0.1443
21153,0.1846
21155,0.1718
21157,0.2265
21159,0.1767
21161,0.1889
21163,0.1515
21165,0.2156
21167,0.1915
21169,0.1989
21171,0.1948
21173,0.1663
21175,0.1727
21177,0.1996
21179,0.1655
21181,0.17
21183,0.1871
21185,0.1404
21187,0.1937
21189,0.2063
21191,0.1667
21193,0.1786
21195,0.1976
21197,0.1651
21199,0.1961
21201,0.2379
21203,0.1924
21205,0.1449
21207,0.2082
21209,0.1264
21211,0.1629
21213,0.1697
21215,0.1507
21217,0.1848
21219,0.1677
21221,0.2366
21223,0.1846
21225,0.1803
21227,0.1351
21229,0.1883
21231,0.2208
21233,0.186
21235,0.1622
21237,0.1976
21239,0.1973
22001,0.1623
22003,0.154
22005,0.1263
22007,0.1955
22009,0.1771
22011,0.1623
22013,0.2166
22015,0.1525
22017,0.1814
22019,0.1556
22021,0.1893
22023,0.1808
22025,0.1862
22027,0.2032
22029,0.1888
22031,0.1843
22033,0.1512
22035,0.1568
22037,0.1898
22039,0.1589
22041,0.1882
22043,0.1558
22045,0.1599
22047,0.1676
22049,0.2075
22051,0.1809
22053,0.1689
22055,0.1415
22057,0.1632
22059,0.1734
22061,0.1437
22063,0.1381
22065,0.1563
22067,0.1999
22069,0.1748
22071,0.1607
22073,0.1566
22075,0.1446
22077,0.2179
22079,0.1704
22081,0.197
22083,0.1829
22085,0.2157
22087,0.1249
22089,0.144
22091,0.21
22093,0.1847
22095,0.1512
22097,0.1688
22099,0.1619
22101,0.1776
22103,0.18
22105,0.1517
22107,0.2651
22109,0.1529
22111,0.2144
22113,0.1621
22115,0.1292
22117,0.1897
22119,0.205
22121,0.1469
22123,0.202
22125,0.1591
22127,0.1958
23001,0.1835
23003,0.2527
23005,0.1945
23007,0.2314
23009,0.2616
23011,0.2077
23013,0.2685
23015,0.2915
23017,0.2291
23019,0.1941
23021,0.272
23023,0.2363
23025,0.2216
23027,0.2385
23029,0.2548
23031,0.2159
24001,0.2094
24003,0.1543
24005,0.1793
24009,0.1592
24011,0.1711
24013,0.1769
24015,0.1655
24017,0.132
24019,0.2248
24021,0.152
24023,0.2345
24025,0.1693
24027,0.1459
24029,0.2728
24031,0.1641
24033,0.1418
24035,0.1983
24037,0.1366
24039,0.1753
24041,0.3033
24043,0.1779
24045,0.1661
24047,0.2843
24510,0.1489
25001,0.3192
25003,0.2454
25005,0.176
25007,0.2562
25009,0.179
25011,0.2375
25013,0.1776
25015,0.1847
25017,0.1592
25019,0.1575
25021,0.1747
25023,0.191
25025,0.1257
25027,0.1646
26001,0.366
26003,0.2653
26005,0.1742
26007,0.2458
26009,0.2845
26011,0.2627
26013,0.2378
26015,0.1918
26017,0.2139
26019,0.2733
26021,0.2069
26023,0.1901
26025,0.1852
26027,0.2207
26029,0.2574
26031,0.2859
26033,0.1911
26035,0.2468
26037,0.1801
26039,0.267
26041,0.2543
26043,0.2366
26045,0.1941
26047,0.2385
26049,0.1829
26051,0.2752
26053,0.2909
26055,0.2115
26057,0.1802
26059,0.2064
26061,0.1842
26063,0.266
26065,0.1439
26067,0.1546
26069,0.306
26071,0.3132
26073,0.1366
26075,0.1864
26077,0.1574
26079,0.2087
26081,0.1444
26083,0.373
26085,0.3081
26087,0.1928
26089,0.3303
26091,0.1975
26093,0.185
26095,0.222
26097,0.2969
26099,0.1781
26101,0.271
26103,0.2025
26105,0.2523
26107,0.192
26109,0.261
26111,0.1947
26113,0.214
26115,0.1915
26117,0.1847
26119,0.3315
26121,0.1799
26123,0.2018
26125,0.1776
26127,0.2178
26129,0.2678
26131,0.3824
26133,0.2176
26135,0.2863
26137,0.2215
26139,0.1589
26141,0.3319
26143,0.3382
26145,0.2005
26147,0.1978
26149,0.187
26151,0.2269
26153,0.2795
26155,0.1937
26157,0.2143
26159,0.1912
26161,0.1492
26163,0.1616
26165,0.2004
27001,0.341
27003,0.1484
27005,0.2176
27007,0.1675
27009,0.1436
27011,0.2704
27013,0.1462
27015,0.2185
27017,0.1804
27019,0.132
27021,0.2668
27023,0.2159
27025,0.1624
27027,0.1382
27029,0.2082
27031,0.2973
27033,0.2338
27035,0.2353
27037,0.1508
27039,0.1549
27041,0.2351
27043,0.2404
27045,0.2162
27047,0.2308
27049,0.2069
27051,0.2408
27053,0.1485
27055,0.2271
27057,0.2605
27059,0.1666
27061,0.2491
27063,0.2293
27065,0.2172
27067,0.1962
27069,0.2555
27071,0.2747
27073,0.2834
27075,0.2727
27077,0.2604
27079,0.1831
27081,0.2517
27083,0.1703
27085,0.1932
27087,0.1783
27089,0.2277
27091,0.2431
27093,0.2083
27095,0.1888
27097,0.2039
27099,0.1857
27101,0.2668
27103,0.1672
27105,0.171
27107,0.2189
27109,0.1612
27111,0.2496
27113,0.1924
27115,0.2192
27117,0.2133
27119,0.1896
27121,0.2481
27123,0.1514
27125,0.2232
27127,0.2176
27129,0.2167
27131,0.1629
27133,0.2085
27135,0.1875
27137,0.2059
27139,0.1171
27141,0.1214
27143,0.1914
27145,0.1584
27147,0.1869
27149,0.1772
27151,0.2277
27153,0.2267
27155,0.2615
27157,0.2276
27159,0.2143
27161,0.1867
27163,0.159
27165,0.2105
27167,0.2002
27169,0.1816
27171,0.1328
27173,0.2176
28001,0.2004
28003,0.1906
28005,0.2496
28007,0.1972
28009,0.1938
28011,0.1691
28013,0.1996
28015,0.2489
28017,0.1819
28019,0.2286
28021,0.1708
28023,0.2133
28025,0.1916
28027,0.1617
28029,0.1853
28031,0.1716
28033,0.1356
28035,0.1421
28037,0.212
28039,0.1497
28041,0.1576
28043,0.1842
28045,0.2115
28047,0.1587
28049,0.1534
28051,0.1631
28053,0.178
28055,0.1845
28057,0.1827
28059,0.1664
28061,0.2095
28063,0.184
28065,0.2348
28067,0.1781
28069,0.2203
28071,0.138
28073,0.147
28075,0.1821
28077,0.1879
28079,0.1723
28081,0.1539
28083,0.1513
28085,0.1787
28087,0.1662
28089,0.1425
28091,0.1928
28093,0.1838
28095,0.2017
28097,0.2284
28099,0.1644
28101,0.1718
28103,0.1735
28105,0.1202
28107,0.1667
28109,0.1962
28111,0.1932
28113,0.1763
28115,0.1562
28117,0.1864
28119,0.187
28121,0.1617
28123,0.1586
28125,0.2053
28127,0.1887
28129,0.2067
28131,0.1697
28133,0.1474
28135,0.1613
28137,0.1716
28139,0.1736
28141,0.2115
28143,0.1315
28145,0.1706
28147,0.2056
28149,0.1782
28151,0.1723
28153,0.1773
28155,0.1792
28157,0.1838
28159,0.2123
28161,0.216
28163,0.1402
29001,0.154
29003,0.1973
29005,0.2603
29007,0.1866
29009,0.2179
29011,0.2113
29013,0.2023
29015,0.318
29017,0.2136
29019,0.1318
29021,0.1712
29023,0.1956
29025,0.2033
29027,0.1711
29029,0.2925
29031,0.175
29033,0.224
29035,0.2102
29037,0.1762
29039,0.2334
29041,0.2481
29043,0.1644
29045,0.2193
29047,0.1481
29049,0.1858
29051,0.1766
29053,0.1921
29055,0.2017
29057,0.2405
29059,0.2087
29061,0.2111
29063,0.1904
29065,0.2265
29067,0.2548
29069,0.1894
29071,0.1834
29073,0.2342
29075,0.2018
29077,0.1705
29079,0.2225
29081,0.228
29083,0.2271
29085,0.3336
29087,0.266
29089,0.2008
29091,0.2021
29093,0.2229
29095,0.1567
29097,0.1617
29099,0.1601
29101,0.131
29103,0.2239
29105,0.1827
29107,0.1917
29109,0.1847
29111,0.1936
29113,0.1415
29115,0.2161
29117,0.2057
29119,0.1581
29121,0.23
29123,0.199
29125,0.2238
29127,0.1865
29129,0.2317
29131,0.1969
29133,0.1875
29135,0.1673
29137,0.2431
29139,0.2112
29141,0.2419
29143,0.1984
29145,0.1884
29147,0.1601
29149,0.2365
29151,0.1825
29153,0.2974
29155,0.1802
29157,0.1967
29159,0.1735
29161,0.1717
29163,0.19
29165,0.1546
29167,0.1816
29169,0.0931
29171,0.2486
29173,0.2263
29175,0.1709
29177,0.1915
29179,0.2407
29181,0.21
29183,0.1615
29185,0.2703
29186,0.2077
29187,0.1707
29189,0.1884
29195,0.1885
29197,0.1974
29199,0.1937
29201,0.1901
29203,0.2332
29205,0.2235
29207,0.2061
29209,0.3198
29211,0.2056
29213,0.2269
29215,0.2199
29217,0.2054
29219,0.1815
29221,0.1762
29223,0.2498
29225,0.1585
29227,0.2622
29229,0.2015
29510,0.1463
30001,0.2344
30003,0.1385
30005,0.1591
30007,0.2407
30009,0.2654
30011,0.2661
30013,0.1943
30015,0.2184
30017,0.2049
30019,0.268
30021,0.2066
30023,0.2534
30025,0.187
30027,0.2518
30029,0.2061
30031,0.1325
30033,0.2553
30035,0.1255
30037,0.3052
30039,0.3186
30041,0.1548
30043,0.23
30045,0.2812
30047,0.232
30049,0.1964
30051,0.2355
30053,0.3019
30055,0.274
30057,0.3071
30059,0.3021
30061,0.2999
30063,0.1669
30065,0.2803
30067,0.2408
30069,0.2828
30071,0.2377
30073,0.2146
30075,0.2965
30077,0.2088
30079,0.3364
30081,0.2716
30083,0.1554
30085,0.1173
30087,0.1658
30089,0.3212
30091,0.2462
30093,0.1954
30095,0.2416
30097,0.2832
30099,0.2297
30101,0.1891
30103,0.2943
30105,0.2415
30107,0.2573
30109,0.2609
30111,0.1771
31001,0.1893
31003,0.249
31005,0.2272
31007,0.2421
31009,0.2375
31011,0.2366
31013,0.1981
31015,0.3079
31017,0.2657
31019,0.1583
31021,0.251
31023,0.2109
31025,0.1842
31027,0.2241
31029,0.215
31031,0.2282
31033,0.2158
31035,0.2091
31037,0.1384
31039,0.2227
31041,0.2312
31043,0.1392
31045,0.1939
31047,0.1719
31049,0.255
31051,0.214
31053,0.1938
31055,0.137
31057,0.2525
