FIPS,% Adults with Diabetes,% Black,% American Indian & Alaska Native,% 65 and over
8007,4.500000,0.602979,3.465311,26.044315
8009,15.100000,0.753138,1.952580,24.714086
8011,7.500000,7.599456,3.485209,17.936076
8013,4.800000,0.955600,0.848877,14.256098
8014,6.800000,1.289214,0.791142,13.847864
8015,7.000000,1.617816,1.627802,25.385729
8017,12.300000,0.906183,1.279318,20.522388
8019,6.700000,0.999479,1.186882,20.333160
8021,8.200000,0.414634,3.963415,19.292683
8023,13.700000,0.809822,5.329154,27.298851
8025,5.600000,10.464322,3.465347,13.707750
8027,7.200000,1.332257,1.190957,32.176019
8029,9.800000,0.613834,1.337512,25.923174
8031,5.100000,8.949995,1.800439,11.753934
8033,5.700000,0.337512,3.230473,25.072324
8035,4.900000,1.359488,0.514330,11.942201
8037,2.400000,0.992854,1.363810,11.557835
8039,6.000000,1.259417,0.844685,16.402861
8041,6.600000,6.068591,1.365542,12.756494
8043,8.200000,3.798338,1.815872,21.661356
8045,4.400000,0.610674,1.694830,13.147064
8047,5.300000,0.996569,1.339650,16.909002
8049,4.700000,0.876006,0.914654,17.597424
8051,2.400000,0.643628,2.580308,12.965325
8053,5.000000,0.616523,1.356350,30.332922
8055,8.400000,0.783858,5.196690,31.180142
8057,8.600000,0.071480,2.644746,22.230164
8059,5.800000,1.143851,1.196761,16.454941
8061,9.300000,0.433839,0.867679,23.427332
8063,9.100000,0.642189,1.158732,19.335474
8065,7.400000,0.728528,2.684049,14.276585
8067,5.100000,0.477713,7.492452,17.169242
8069,5.000000,0.975128,1.028478,15.673375
8071,10.200000,1.730676,3.675102,24.332897
8073,9.000000,5.276292,1.497326,17.557932
8075,11.100000,3.493125,1.718692,17.762913
8077,8.200000,0.698402,1.533220,19.083984
8079,6.000000,0.257732,1.159794,31.185567
8081,8.200000,0.652108,1.569609,15.316955
8083,12.400000,0.370823,14.056885,22.115605
8085,7.700000,0.450088,1.838253,23.300327
8087,10.200000,3.270537,1.859374,15.484278
8089,11.500000,1.133898,3.738064,20.431858
8091,6.900000,0.082764,0.889717,27.188082
8093,4.300000,0.835309,1.261048,20.440828
8095,12.400000,0.676622,0.956603,22.538497
8097,1.900000,0.891365,0.484680,19.398329
8099,12.400000,0.698783,1.964814,17.617560
8101,9.500000,1.848038,3.119460,18.497096
8103,3.900000,1.167929,1.594066,15.546086
8105,7.900000,0.622222,3.448889,20.231111
8107,3.200000,0.866592,0.629542,15.443205
8109,13.900000,0.803741,3.521847,22.972381
8111,4.300000,0.131234,0.918635,23.359580
8113,1.800000,0.561592,1.355146,14.662434
8115,11.300000,0.738168,1.172384,26.226661
8117,3.200000,1.019125,0.815945,13.658206
8119,6.500000,0.825260,1.367460,21.947136
8121,13.300000,1.120391,0.387044,20.696680
8123,7.100000,1.156202,1.611810,12.161436
8125,9.300000,0.389222,0.878244,18.473054
9000,8.900000,10.212488,0.558211,17.217427
9001,7.400000,10.974409,0.517788,15.884122
9003,9.900000,13.239655,0.564917,17.124960
9005,9.100000,1.632700,0.330736,21.258786
9007,7.200000,4.782951,0.275999,20.326158
9009,9.800000,12.827826,0.536018,17.360369
9011,8.800000,5.714361,1.178856,18.221108
9013,8.200000,3.260646,0.267690,15.799657
9015,11.100000,1.855127,0.699838,16.592752
10000,11.500000,21.868315,0.667721,18.723266
10001,13.100000,25.466256,0.742649,17.072529
10003,10.500000,24.850760,0.461262,15.559191
10005,12.900000,11.790951,1.113020,27.727380
11000,8.100000,44.890705,0.611569,12.143554
11001,8.100000,44.890705,0.611569,12.143554
12000,10.600000,15.537516,0.502288,20.461076
12001,8.800000,19.959549,0.359688,14.015617
12003,15.500000,13.814142,0.440839,14.159760
12005,11.400000,11.214494,0.828445,17.096720
12007,12.300000,19.692053,0.497620,17.795327
12009,13.100000,9.961984,0.462093,23.681869
12011,9.300000,28.345223,0.405379,16.620696
12013,16.800000,13.004730,1.329951,18.036608
12015,12.900000,5.502762,0.401085,40.213408
12017,15.000000,2.868944,0.432640,36.304579
12019,11.400000,11.324003,0.564627,15.783628
12021,8.700000,6.692947,0.478219,32.216345
12023,15.000000,18.037530,0.578699,18.884303
12027,14.700000,11.915495,1.098989,22.185174
