FIPS,County,State,Total Population,Population 0-4,Population 5-17,Population 18-24,Population 25-44,Population 45-64,Population 65+,Population Under 18,Population 18-54,Population 55+,Male Population,Female Population,Population Density
49041,Sevier County,Utah,21620.0,1597.0,4658.0,1832.0,5331.0,4635.0,3567.0,6255.0,9257.0,6108.0,11037.0,10599.0,4.369442199751302
49043,Summit County,Utah,42145.0,2206.0,7897.0,3446.0,10339.0,12622.0,5635.0,10103.0,20045.0,11997.0,21562.0,20519.0,8.699056127269722
49045,Tooele County,Utah,72259.0,5686.0,17546.0,6415.0,20977.0,14887.0,6748.0,23232.0,35582.0,13445.0,36602.0,35508.0,4.018953330065665
49047,Uintah County,Utah,35734.0,2943.0,8810.0,2827.0,10135.0,6997.0,4022.0,11753.0,16386.0,7595.0,18176.0,17630.0,3.0780443158984934
49049,Utah County,Utah,636235.0,58343.0,150942.0,106418.0,172748.0,97294.0,50490.0,209285.0,333724.0,93226.0,321192.0,314483.0,122.60379937383783
49051,Wasatch County,Utah,34091.0,2535.0,7914.0,2917.0,8742.0,7792.0,4191.0,10449.0,15576.0,8066.0,17394.0,16816.0,11.182994318558316
49053,Washington County,Utah,177556.0,11493.0,33888.0,15576.0,41603.0,35929.0,39067.0,45381.0,73817.0,58358.0,88284.0,89654.0,28.241602266732116
49055,Wayne County,Utah,2711.0,161.0,487.0,210.0,562.0,694.0,597.0,648.0,1058.0,1005.0,1380.0,1323.0,0.42532085164494593
49057,Weber County,Utah,260213.0,19478.0,52969.0,25269.0,76218.0,55409.0,30870.0,72447.0,129451.0,58315.0,130686.0,128994.0,174.34444667641534
50001,Addison County,Vermont,36777.0,1563.0,4493.0,5021.0,7799.0,10303.0,7598.0,6056.0,17462.0,13259.0,18482.0,18512.0,18.52950620692357
50003,Bennington County,Vermont,35470.0,1642.0,4966.0,3330.0,7045.0,10199.0,8288.0,6608.0,14807.0,14055.0,17247.0,18285.0,20.289057034396627
50005,Caledonia County,Vermont,29993.0,1423.0,4315.0,2593.0,6505.0,8541.0,6616.0,5738.0,12963.0,11292.0,14888.0,14972.0,17.842868216252437
50007,Chittenden County,Vermont,163774.0,7457.0,21081.0,26141.0,42915.0,40699.0,25481.0,28538.0,88388.0,46848.0,80377.0,83541.0,117.84420200093345
50009,Essex County,Vermont,6163.0,276.0,778.0,359.0,1111.0,2004.0,1635.0,1054.0,2317.0,2792.0,3077.0,3068.0,3.585813526064715
50011,Franklin County,Vermont,49402.0,2887.0,7947.0,3674.0,12501.0,14147.0,8246.0,10834.0,22868.0,15700.0,24484.0,24900.0,30.0798813438369
50013,Grand Isle County,Vermont,7235.0,335.0,967.0,472.0,1596.0,2308.0,1557.0,1302.0,3020.0,2913.0,3674.0,3534.0,34.14642330846654
50015,Lamoille County,Vermont,25362.0,1287.0,3827.0,2270.0,6441.0,6996.0,4541.0,5114.0,12015.0,8233.0,12741.0,12679.0,21.340065545958314
50017,Orange County,Vermont,28892.0,1350.0,3886.0,2210.0,6441.0,8639.0,6366.0,5236.0,12362.0,11294.0,14447.0,14362.0,16.23697704115668
50019,Orleans County,Vermont,27037.0,1295.0,3938.0,2006.0,6001.0,7508.0,6289.0,5233.0,11373.0,10431.0,13458.0,13476.0,15.051100962233022
50021,Rutland County,Vermont,58191.0,2565.0,7653.0,5287.0,12274.0,17180.0,13232.0,10218.0,24973.0,23000.0,28801.0,29324.0,24.163551965052683
50023,Washington County,Vermont,58409.0,2729.0,8061.0,5853.0,13545.0,16450.0,11771.0,10790.0,27026.0,20593.0,29076.0,29382.0,32.82457870150025
50025,Windham County,Vermont,42222.0,1845.0,5605.0,3116.0,9222.0,12348.0,10086.0,7450.0,17454.0,17318.0,20660.0,21567.0,20.753489484186677
50027,Windsor County,Vermont,55062.0,2389.0,7445.0,3508.0,12279.0,16108.0,13333.0,9834.0,22538.0,22690.0,26896.0,28136.0,21.926614209058705
51001,Accomack County,Virginia,32316.0,1811.0,4879.0,2072.0,6710.0,8910.0,7934.0,6690.0,12572.0,13054.0,15790.0,16535.0,27.769896325746164
51003,Albemarle County,Virginia,109330.0,5721.0,15832.0,12643.0,27099.0,26880.0,21155.0,21553.0,52284.0,35493.0,52548.0,57295.0,58.5903221753414
51005,Alleghany County,Virginia,14860.0,650.0,2064.0,1095.0,2938.0,4328.0,3785.0,2714.0,6056.0,6090.0,7280.0,7618.0,12.847904835613841
51007,Amelia County,Virginia,13145.0,724.0,2016.0,899.0,2924.0,3945.0,2637.0,2740.0,5535.0,4870.0,6445.0,6613.0,14.28581498429168
51009,Amherst County,Virginia,31605.0,1638.0,4476.0,2592.0,6907.0,9165.0,6827.0,6114.0,13822.0,11669.0,15366.0,16312.0,25.746308333340732
