FIPS,County,Vulnerability Index,Infection Rate: Transmissible Cases,Infection Rate: Disease Spread,Pop Concentration: Pop Mobility,Pop Concentration: Residential Density,Intervention: Testing,Health & Environment: Pop Demographics,Health & Environment: Air Pollution,Health & Environment: Age Distribution,Health & Environment: Co-morbidities,Health & Environment: Health Disparities,Health & Environment: Hospital Beds
13121,"Georgia, Fulton",0.592446488,0.729331235,0.295152146,0.817512688,0.8259,0.57136456,0.589652322,0.538922156,0.399504763,0.221888946,0.271834859,0.396193292
13153,"Georgia, Houston",0.561195818,0.678127011,0.31899201,0.65146902,0.4031,0.57136456,0.610416877,0.497005988,0.434720726,0.377772125,0.367345117,0.493879547
13215,"Georgia, Muscogee",0.634405158,0.736607289,0.240512449,0.73192448,0.8596,0.57136456,0.651484615,0.532934132,0.446744085,0.480820648,0.524952172,0.336930685
13245,"Georgia, Richmond",0.652888176,0.773643553,0.406418716,0.717066833,0.9261,0.57136456,0.654749997,0.497005988,0.464081714,0.45212158,0.605086567,0.272413447
15003,"Hawaii, Honolulu",0.502971203,0.454431543,0.387904704,0.790978151,0.965,1,0.337601594,0,0.556172664,0.173543212,0.071233638,0.475159141
16001,"Idaho, Ada",0.528330694,0.744348561,0.331857831,0.685162977,0.2429,0.863818759,0.353702701,0.45508982,0.472457163,0.169022167,0.117375923,0.435607688
16027,"Idaho, Canyon",0.601173185,0.803130475,0.405875952,0.660381355,0.4082,0.863818759,0.353974037,0.461077844,0.464081714,0.294595037,0.533995543,0.527552732
17019,"Illinois, Champaign",0.533407179,0.576155674,0.228492774,0.648463207,0.9936,0.305430154,0.501149635,0.526946108,0.425441612,0.271663513,0.211802239,0.456915387
17031,"Illinois, Cook",0.566091514,0.563642105,0.071384222,0.822357957,0.8758,0.305430154,0.620480519,0.718562874,0.483339449,0.247473063,0.349582389,0.416640286
17043,"Illinois, DuPage",0.46862186,0.55529234,0.112731502,0.777263589,0.3079,0.305430154,0.417252705,0.610778443,0.499089333,0.17761256,0.074666383,0.486366954
17089,"Illinois, Kane",0.477926139,0.550916904,0.078313253,0.700030897,0.2958,0.305430154,0.514244968,0.586826347,0.446744085,0.217390656,0.253425909,0.475469662
17093,"Illinois, Kendall",0.407432455,0.537188094,0.121892542,0.646454887,0.0478,0.305430154,0.48198617,0.562874251,0.345396617,0.219182032,0.079865066,0
17097,"Illinois, Lake",0.49630903,0.575034017,0.093515997,0.717560097,0.5365,0.305430154,0.521231244,0.574850299,0.464081714,0.191040131,0.148038515,0.521575364
17113,"Illinois, McLean",0.482711882,0.512198659,0.328846154,0.631072432,0.6393,0.305430154,0.433848573,0.520958084,0.437763125,0.293006062,0.088607188,0.477986362
17115,"Illinois, Macon",0.535921857,0.57319132,0.382075472,0.637680893,0.6425,0.305430154,0.497404491,0.526946108,0.597857609,0.362915654,0.309350775,0.389842982
17143,"Illinois, Peoria",0.545976799,0.632947562,0.364171573,0.666107411,0.6444,0.305430154,0.540795271,0.532934132,0.535777142,0.365302245,0.299833307,0.33935126
17167,"Illinois, Sangamon",0.513817053,0.573541656,0.334437086,0.651582594,0.6361,0.305430154,0.470413787,0.508982036,0.551735804,0.324182818,0.194316789,0.357793002
17197,"Illinois, Will",0.46090216,0.545759198,0.104885057,0.695488145,0.1465,0.305430154,0.513611112,0.616766467,0.431653286,0.252447749,0.11753275,0.530013617
17201,"Illinois, Winnebago",0.520605221,0.545586012,0.099445983,0.691248156,0.554,0.305430154,0.538668402,0.508982036,0.549497408,0.361222825,0.370596583,0.428463357
18003,"Indiana, Allen",0.536838606,0.536874021,0.127873563,0.673939845,0.3878,0.795253036,0.513676865,0.574850299,0.483339449,0.369777216,0.308507736,0.394432601
18057,"Indiana, Hamilton",0.464345927,0.580049306,0.226965342,0.688638615,0.035,0.795253036,0.349549583,0.51497006,0.4094438,0.174836135,0.029666459,0.486720939
18089,"Indiana, Lake",0.592613489,0.606834975,0.139430067,0.726438967,0.504,0.795253036,0.594408484,0.676646707,0.528722828,0.419081279,0.397172138,0.358285403
18097,"Indiana, Marion",0.601658307,0.608201017,0.133777155,0.783749528,0.6839,0.795253036,0.593509319,0.586826347,0.42856039,0.401087464,0.463060143,0.394782985
18105,"Indiana, Monroe",0.568055139,0.587269436,0.386503067,0.673725544,0.8921,0.795253036,0.363105336,0.443113772,0.434720726,0.249445642,0.35518627,0.465227586
18141,"Indiana, St. Joseph",0.595664413,0.632291163,0.217728345,0.692478947,0.7157,0.795253036,0.543214841,0.586826347,0.514200531,0.358884599,0.332496598,0.434316362
18157,"Indiana, Tippecanoe",0.550499808,0.529607802,0.210475267,0.679433446,0.8424,0.795253036,0.425824722,0.473053892,0.392728361,0.307771256,0.330763302,0.409524888
18163,"Indiana, Vanderburgh",0.604581855,0.680778946,0.390120329,0.699075146,0.7096,0.795253036,0.453460743,0.568862275,0.538099217,0.415771855,0.302937099,0.354412564
